Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
USA,2022,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,106153.0,9215.0,Weight in kilograms,9215.0,3
USA,2022,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Re-Export,2623.0,204.0,Weight in kilograms,204.0,3
USA,2022,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,2112096.0,124743.0,Weight in kilograms,124743.0,3
USA,2022,"Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,7396592.0,781524.0,Weight in kilograms,781524.0,3
USA,2022,"Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,152740.0,18009.0,Weight in kilograms,18009.0,3
USA,2022,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,341915.0,82534.0,Weight in kilograms,82534.0,3
USA,2022,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,4275660.0,487417.0,Weight in kilograms,487417.0,3
USA,2022,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,178728249.0,13884341.0,Weight in kilograms,13884341.0,3
USA,2022,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,2301424.0,153710.0,Weight in kilograms,153710.0,3
USA,2022,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Re-Export,1382748.0,78375.0,Weight in kilograms,78375.0,3
USA,2022,"Fish; fresh or chilled, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,319445.0,121663.0,Weight in kilograms,121663.0,3
USA,2022,"Fish; fresh or chilled, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Re-Export,3329.0,79.0,Weight in kilograms,79.0,3
USA,2022,"Fish; fresh or chilled, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,34938.0,3356.0,Weight in kilograms,3356.0,3
USA,2022,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,157375.0,14717.0,Weight in kilograms,14717.0,3
USA,2022,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Re-Export,32826.0,4304.0,Weight in kilograms,4304.0,3
USA,2022,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,54446885.0,3733928.0,Weight in kilograms,3733928.0,3
